Stock Name,ROE,YOY Earnings (Quarterly),Dept to Equtity Ratio,,,
"Citizens Financial Group, Inc. (CFG)",5.74%,43.5%,N/A,116.74,,
"Church & Dwight Co., Inc. (CHD)",22.94%,1.2%,56.64,26.13,,
Chesapeake Energy Corporation (CHK),-736.85%,N/A,N/A,130.34,,
"C.H. Robinson Worldwide, Inc. (CHRW)",41.19%,2.6%,94.23,23.78,,
"Charter Communications, Inc. (CHTR)",14.89%,N/A,122.6,74.28,,
Cigna Corporation (CI),14.23%,-10.3%,36.5,43.34,,
Cincinnati Financial Corporation (CINF),8.76%,-35.9%,11.98,20.02,,
Colgate-Palmolive Company (CL),N/A,N/A,38429.41,18.84,,
The Clorox Company (CLX),279.06%,0%,944.07,26.28,,
Comerica Incorporated (CMA),6.21%,41.4%,N/A,103.69,,
Comcast Corporation (CMCSA),16.03%,16.5%,105.95,36.26,,
CME Group Inc. (CME),7.5%,28%,10.97,38.26,,
"Chipotle Mexican Grill, Inc. (CMG)",6.48%,N/A,N/A,40.95,,
Cummins Inc. (CMI),19.51%,134.8%,25.87,55.09,,
CMS Energy Corporation (CMS),13.38%,-27.4%,233.89,19.26,,
Centene Corporation (CNC),12.06%,N/A,74.69,55.2,,
"CenterPoint Energy, Inc. (CNP)",12.48%,N/A,248.32,35.81,,
Capital One Financial Corporation (COF),7.41%,-20%,N/A,67.02,,
Cabot Oil & Gas Corporation (COG),-18.23%,N/A,59.22,33.57,,
"Coach, Inc. (COH)",19.01%,17.4%,21.05,36.66,,
"Rockwell Collins, Inc. (COL)",35.94%,7.4%,103.08,36.96,,
"The Cooper Companies, Inc. (COO)",11.02%,47.5%,50.53,34.14,,
ConocoPhillips (COP),-9.45%,N/A,77.43,37.04,,
Costco Wholesale Corporation (COST),20.13%,-5.7%,39.9,32.19,,
Coty Inc. (COTY),N/A,N/A,N/A,77.76,,
Campbell Soup Company (CPB),33.1%,-61.9%,236.17,29.12,,
"Salesforce.com, inc. (CRM)",2.87%,N/A,36.13,34.4,,
"Cisco Systems, Inc. (CSCO)",15.77%,-25.4%,54.72,30.76,,
CSRA Inc. (CSRA),74.49%,162.5%,848.18,52.8,,
CSX Corporation (CSX),14.78%,1.7%,96.79,115.51,,
Cintas Corporation (CTAS),24.14%,0.6%,52.54,42.3,,
"CenturyLink, Inc. (CTL)",4.56%,-87.6%,146.94,49.8,,
Cognizant Technology Solutions Corporation (CTSH),15.52%,-2.1%,8.18,42.34,,
"Citrix Systems, Inc. (CTXS)",28.05%,-66.9%,84.07,45.08,,
