Stock Name,ROE,YOY Earnings (Quarterly),Dept to Equtity Ratio,,,
QUALCOMM Incorporated (QCOM),15.91%,-54.5%,37.44,40.87,,
"Qorvo, Inc. (QRVO)",-1.87%,N/A,20.33,62.67,,
"Ryder System, Inc. (R)",11.96%,-31.6%,256.09,49.91,,
Reynolds American Inc. (RAI),30.39%,205%,60.64,51.15,,
Royal Caribbean Cruises Ltd. (RCL),14.94%,26.3%,103.55,70.28,,
Regency Centers Corporation (REG),7.1%,167.2%,62.6,41,,
"Regeneron Pharmaceuticals, Inc. (REGN)",22.1%,63.3%,10.76,39.22,,
Regions Financial Corporation (RF),6.95%,10.3%,N/A,105.51,,
Robert Half International Inc. (RHI),N/A,-5.9%,0.09,48.46,,
"Red Hat, Inc. (RHT)",19.65%,24.1%,59.78,30.16,,
Transocean Ltd. (RIG),5.36%,-67.4%,53.46,91.94,,
Ralph Lauren Corporation (RL),3.94%,-37.4%,24.13,50.75,,
Rockwell Automation Inc. (ROK),35.41%,15.7%,92.67,53.96,,
"Roper Technologies, Inc. (ROP)",11.88%,-12.7%,107.27,41.62,,
"Ross Stores, Inc. (ROST)",42.82%,13.8%,14.43,34.25,,
Range Resources Corporation (RRC),-6.24%,N/A,66.97,90.35,,
"Republic Services, Inc. (RSG)",7.93%,10%,99.55,35.63,,
Raytheon Company (RTN),21.2%,17.9%,49.72,25.32,,
Starbucks Corporation (SBUX),N/A,13.5%,54.9,21.83,,
SCANA Corporation (SCG),10.66%,26.5%,133.45,19.02,,
The Charles Schwab Corporation (SCHW),N/A,36.9%,17.51,83.17,,
Sealed Air Corporation (SEE),85.57%,38.5%,714.94,21.27,,
The Sherwin-Williams Company (SHW),82.49%,2.5%,103.94,41.82,,
Signet Jewelers Limited (SIG),17.63%,9.4%,45.42,82.82,,
The J. M. Smucker Company (SJM),9.24%,-27.4%,70.24,28.89,,
Schlumberger Limited (SLB),-4.86%,-44.3%,46.25,25.09,,
SL Green Realty Corp. (SLG),3.29%,-53%,76.51,28.47,,
Snap-on Incorporated (SNA),21.63%,10.4%,36.97,25.18,,
"Scripps Networks Interactive, Inc. (SNI)",40.7%,-68.4%,143.71,42.04,,
The Southern Company (SO),10.13%,-18.1%,176.46,18.27,,
"Simon Property Group, Inc. (SPG)",41.29%,0.5%,450.74,45.64,,
S&P Global Inc. (SPGI),149.97%,35.7%,185.29,39.23,,
"Staples, Inc. (SPLS)",-10.11%,N/A,28.35,41.57,,
"Stericycle, Inc. (SRCL)",7.47%,-76.8%,104.75,50.64,,
Sempra Energy (SRE),10.91%,2.7%,112.33,23.36,,
"SunTrust Banks, Inc. (STI)",8.03%,4.7%,N/A,63.59,,
State Street Corporation (STT),10.11%,3%,N/A,68.74,,
Seagate Technology plc (STX),30.74%,80%,268.75,173.54,,
"Constellation Brands, Inc. (STZ)",22.67%,85.7%,134.18,24.9,,
"Stanley Black & Decker, Inc. (SWK)",18.66%,107.6%,73.72,34.85,,
"Skyworks Solutions, Inc. (SWKS)",25.14%,-27.4%,N/A,84.45,,
Southwestern Energy Company (SWN),-165.24%,N/A,507.74,128.93,,
Synchrony Financial (SYF),16.8%,5.3%,N/A,63.70,,
Stryker Corporation (SYK),18.25%,10.4%,74.03,28.47,,
Symantec Corporation (SYMC),-22.95%,-72.9%,180.76,104.43,,
Sysco Corporation (SYY),31.55%,1%,327.62,21.04,,
AT&T Inc. (T),10.44%,-8.8%,106.61,21.58,,
Molson Coors Brewing Company (TAP),21.24%,4285.4%,103.88,25.67,,
Teradata Corporation (TDC),19.34%,N/A,58.81,37.29,,
TransDigm Group Incorporated (TDG),N/A,-8.2%,N/A,44.50,,
TE Connectivity Ltd. (TEL),23.23%,15.9%,45.58,46.11,,
TEGNA Inc. (TGNA),19.5%,-6.6%,155.56,48.8,,
Target Corporation (TGT),22.33%,-42.7%,116.4,50.47,,
Tiffany & Co. (TIF),14.98%,-3.3%,36.56,70.71,,
"The TJX Companies, Inc. (TJX)",52.13%,1.7%,53.29,16.98,,
Torchmark Corporation (TMK),N/A,8%,30.6,38.34,,
Thermo Fisher Scientific Inc. (TMO),10.18%,37.1%,78.32,24.55,,
"TripAdvisor, Inc. (TRIP)",8.24%,-66.7%,16.98,77.23,,
"T. Rowe Price Group, Inc. (TROW)",24.28%,26.9%,N/A,25.38,,
"The Travelers Companies, Inc. (TRV)",12.31%,-10.7%,27.27,21.3,,
Tractor Supply Company (TSCO),30.71%,10.6%,20.74,63.16,,
"Tyson Foods, Inc. (TSN)",19.7%,28.6%,62.37,38.28,,
Tesoro Corporation (TSO),10.71%,N/A,85.31,33.92,,
"Total System Services, Inc. (TSS)",16.31%,N/A,158.38,27.3,,
Time Warner Inc. (TWX),N/A,N/A,N/A,45.86,,
Texas Instruments Incorporated (TXN),35.21%,41.1%,34.46,N/A,,
Textron Inc. (TXT),14.98%,-32.7%,76.62,49.79,,
"Under Armour, Inc. (UA)",13.89%,-2.2%,40.27,151.85,,
"Under Armour, Inc. (UAA)",13.89%,-2.2%,40.27,142.83,,
"United Continental Holdings, Inc. (UAL)",25.12%,-69.3%,152.01,111.57,,
"UDR, Inc. (UDR)",8.16%,42.7%,84.91,16.22,,
"Universal Health Services, Inc. (UHS)",15.75%,8%,81.05,39.85,,
"Ulta Beauty, Inc. (ULTA)",27.38%,30%,N/A,48.34,,
UnitedHealth Group Incorporated (UNH),18.5%,34.8%,74.24,37.04,,
Unum Group (UNM),10.55%,9.2%,32.77,68.75,,
Union Pacific Corporation (UNP),21.52%,9.5%,76.22,42.72,,
"United Parcel Service, Inc. (UPS)",235%,N/A,3753.85,20.38,,
"Urban Outfitters, Inc. (URBN)",17.8%,-11.8%,N/A,89.24,,
"United Rentals, Inc. (URI)",36.24%,-9.5%,472.69,125.95,,
U.S. Bancorp (USB),12.55%,0.1%,N/A,47.15,,
United Technologies Corporation (UTX),18.96%,16.4%,83.11,25.86,,
Visa Inc. (V),16.17%,-74.8%,51.61,26.94,,
"Varian Medical Systems, Inc. (VAR)",19.8%,-77.1%,34.91,41.95,,
V.F. Corporation (VFC),22.71%,N/A,46.93,35.86,,
"Viacom, Inc. (VIAB)",32.61%,-11.8%,261.2,37.65,,
Valero Energy Corporation (VLO),N/A,-38.4%,38.37,52.3,,
Vulcan Materials Company (VMC),9.36%,54.2%,43.37,30.72,,
Vornado Realty Trust (VNO),11.07%,165.7%,119.96,29.38,,
"Verisk Analytics, Inc. (VRSK)",33.39%,-4%,179.15,15.61,,
"VeriSign, Inc. (VRSN)",N/A,8.3%,N/A,24.04,,
Vertex Pharmaceuticals Incorporated (VRTX),14.41%,N/A,29.67,70.67,,
"Ventas, Inc. (VTR)",6.35%,66.5%,103.71,36.65,,
Verizon Communications Inc. (VZ),56.41%,-20%,465.49,24.45,,
Waters Corporation (WAT),23.71%,12.2%,77.98,33.1,,
"Walgreens Boots Alliance, Inc. (WBA)",14.16%,14%,62.17,16.19,,
Western Digital Corporation (WDC),-2.41%,235.1%,118.65,160.07,,
"WEC Energy Group, Inc. (WEC)",10.64%,8.4%,113.56,23.18,,
Wells Fargo & Company (WFC),11.01%,-0.1%,N/A,37.75,,
"Whole Foods Market, Inc. (WFM)",13.58%,-39.5%,31.93,38.38,,
Whirlpool Corporation (WHR),16.21%,2%,87.15,N/A,,
Willis Towers Watson Public Limited Company (WLTW),6.93%,N/A,37.77,29.74,,
"Waste Management, Inc. (WM)",22.51%,15.5%,163.27,23.46,,
"The Williams Companies, Inc. (WMB)",-2.31%,N/A,167.32,73.42,,
"Wal-Mart Stores, Inc. (WMT)",17.42%,-17.9%,57.82,22.85,,
WestRock Company (WRK),N/A,N/A,N/A,N/A,,
The Western Union Company (WU),21.95%,N/A,308.81,25.62,,
Weyerhaeuser Co. (WY),5.91%,687.1%,77.58,33.71,,
Wyndham Worldwide Corporation (WYN),87.25%,46.9%,857.81,63.64,,
"Wynn Resorts, Limited (WYNN)",216.26%,30.5%,3926.37,54.16,,
Cimarex Energy Co. (XEC),-16.72%,N/A,63.05,34.86,,
Xcel Energy Inc. (XEL),10.39%,8.8%,134.67,20.08,,
XL Group Ltd (XL),5.26%,598.4%,20.37,43.49,,
"Xilinx, Inc. (XLNX)",24.42%,5.8%,57.89,52.82,,
Exxon Mobil Corporation (XOM),4.78%,-39.6%,24.6,18.99,,
DENTSPLY SIRONA Inc. (XRAY),8.24%,82.6%,18.86,19.69,,
Xerox Corporation (XRX),8.64%,-33.2%,124.95,34.44,,
Xylem Inc. (XYL),12.12%,-56.1%,107.29,29.33,,
Yahoo! Inc. (YHOO),-0.7%,N/A,4.18,41.94,,
"Yum! Brands, Inc. (YUM)",N/A,N/A,N/A,16.55,,
"Zimmer Biomet Holdings, Inc. (ZBH)",5.05%,175.2%,115.89,39.3,,
Zions Bancorporation (ZION),6.73%,53.7%,N/A,109.95,,
Zoetis Inc. (ZTS),63.24%,600%,298.07,32.93,,
